Loading required package: Rcpp
Loading required package: lattice
Loading required package: ggplot2
            macd  ma5         roc         rsi decision
1    3.410256410 17.6 -0.70000000  -205.26316        1
2    0.897435897  8.8 -0.92592593  -161.11111       -1
3   -0.538461538  4.2 -1.00000000  -133.33333       -1
4   -2.173076923  4.0 -0.84000000  -113.04348        1
5   -2.769230769  5.0 -0.21428571  -366.66667        1
6   -3.089743590  7.8  0.22222222 -1300.00000        1
7   -3.102564103 13.2  0.52631579   306.66667        1
8   -2.717948718 22.0  0.69230769   219.23077        1
9   -3.147435897 26.6 -0.03571429   700.00000       -1
10  -2.493589744 31.4  0.52173913   633.33333        1
11   1.083333333 34.2  5.16666667   457.14286        1
12   1.846153846 30.4  2.12500000   320.00000       -1
13   3.929487179 31.6 15.50000000   262.96296        1
14   8.403846154 32.2  6.25000000   270.37037       -1
15   9.153846154 28.8  0.81818182   365.00000       -1
16   9.269230769 28.2  0.00000000   394.44444        1
17   8.467948718 26.4 -0.17241379   507.69231        1
18   6.173076923 23.0  0.00000000 -2650.00000        1
19   5.333333333 23.8 -0.31428571  -190.00000       -1
20   4.750000000 22.4 -0.46428571  -316.66667       -1
21   2.775641026 18.6 -0.86486486  -100.00000       -1
22   0.974358974 14.6 -0.92000000  -115.38462       -1
23  -1.410256410  9.8 -0.90909091   -64.70588        1
24  -4.051282051  5.6 -0.91891892  -100.00000        0
25  -6.166666667  3.6 -0.82758621   -57.14286        1
26  -7.653846154  3.4 -0.80000000   -36.36364       -1
27  -8.525641026  6.6 -0.18181818  -236.36364        1
28  -8.935897436 11.2  0.08333333   566.66667        1
29  -8.038461538 19.0  0.90909091   240.00000        1
30  -8.230769231 22.2 -0.22222222 -1533.33333       -1
31  -7.506410256 26.0 -0.04166667  4800.00000        1
32  -6.910256410 26.0  0.20000000  -477.77778       -1
33  -4.814102564 26.0  4.20000000  2550.00000        1
34  -3.185897436 20.8  7.00000000  5100.00000       -1
35  -0.756410256 22.2  8.33333333   273.91304        1
36   1.032051282 22.4  7.00000000   286.36364       -1
37   2.782051282 22.8  3.00000000   364.70588       -1
38   4.051282051 18.4  0.00000000  6200.00000       -1
39   3.935897436 16.4 -0.66666667  6200.00000        1
40   2.942307692 12.6 -0.65384615  1300.00000        1
41   0.378205128  8.2 -0.95238095  -318.75000       -1
42  -0.224358974  5.2 -0.76190476  -219.04762        1
43  -0.935897436  6.0 -0.65217391   -97.05882        1
44  -1.128205128  6.0 -0.66666667  -220.00000       -1
45  -1.878205128  6.4 -0.57692308  -300.00000        1
46  -2.935897436 13.2 -0.17857143 -1333.33333        1
47  -3.198717949 19.0  0.54166667   257.14286        1
48  -3.897435897 21.6 -0.05000000  -466.66667       -1
49  -2.224358974 25.6  3.16666667   960.00000        1
50  -1.250000000 28.0  2.88888889   187.09677        1
51   0.532051282 26.2 13.00000000   254.54545       -1
52   1.923076923 26.0  2.60000000   588.88889       -1
53   3.948717949 26.0  2.00000000   268.18182        1
54   4.705128205 23.0  0.66666667  1120.00000       -1
55   5.570512821 20.0  0.81818182   525.00000        1
56   6.378205128 21.6  1.00000000   263.33333        1
57   6.134615385 21.0 -0.34782609  1850.00000       -1
58   5.057692308 22.4 -0.16216216   638.46154        1
59   5.044871795 23.4 -0.50000000  -256.00000       -1
60   4.448717949 19.4 -0.36000000 -2266.66667        1
61   1.955128205 17.6 -0.82857143  -350.00000       -1
62  -0.102564103 11.6 -0.96428571  -258.33333       -1
63  -0.987179487  8.2 -0.66666667  -196.55172        1
64  -2.685897436  6.8 -0.79166667  -247.82609       -1
65  -3.237179487  4.0 -0.80000000  -356.25000       -1
66  -3.967948718  5.6 -0.30000000  -630.00000        1
67  -5.211538462 12.2 -0.05555556   345.83333        1
68  -4.961538462 15.8  0.60000000  1825.00000       -1
69  -6.403846154 16.8 -0.67741935  -219.23077       -1
70  -6.987179487 18.4 -0.56521739 -1140.00000        0
71  -5.801282051 19.0  0.41666667  -342.85714        1
72  -5.326923077 17.0  0.50000000  5500.00000        1
73  -3.961538462 16.4  2.50000000   611.11111       -1
74  -2.006410256 19.2 23.00000000   675.00000        1
75   0.051282051 22.6  3.50000000   271.42857        1
76   1.698717949 23.6  3.40000000   271.42857       -1
77   3.121794872 22.8  9.00000000   371.42857       -1
78   3.641025641 22.0  0.21428571   433.33333       -1
79   2.044871795 21.0 -0.44117647   317.64706        1
80   1.397435897 18.2 -0.45833333 -4200.00000       -1
81   2.711538462 17.2  0.70000000  -152.94118        1
82   3.173076923 16.4  0.60000000  -325.00000       -1
83   3.442307692 15.2 -0.35294118  2600.00000       -1
84   2.551282051 12.4 -0.79166667  -520.00000       -1
85   1.442307692 10.6 -0.80952381  -146.15385       -1
